"path","modulePath"
"tools/recompute_recommender_cache.py","zeeguu.core.content_recommender.mysql_recommender._recompute_recommender_cache_if_needed"
"tools/recompute_recommender_cache.py","zeeguu.core.model.Topic"
"tools/recompute_recommender_cache.py","zeeguu.core"
"tools/recompute_recommender_cache.py","zeeguu.core.content_recommender.mysql_recommender._reading_preferences_hash"
"tools/recompute_recommender_cache.py","zeeguu.core.model.User"
"tools/recompute_recommender_cache.py","zeeguu.core.model.Language"
"tools/remove_text_duplicates.py","zeeguu.core.model.Text"
"tools/remove_text_duplicates.py","zeeguu.core.model.Bookmark"
"tools/remove_text_duplicates.py","zeeguu.core.util.hash.text_hash"
"tools/remove_text_duplicates.py","zeeguu.core.db"
"tools/remove_unreferenced_articles.py","zeeguu.core.model.UserReadingSession"
"tools/remove_unreferenced_articles.py","sys"
"tools/remove_unreferenced_articles.py","traceback"
"tools/remove_unreferenced_articles.py","sqlalchemy"
"tools/remove_unreferenced_articles.py","zeeguu.core.model.UserActivityData"
"tools/remove_unreferenced_articles.py","zeeguu.core.model.CohortArticleMap"
"tools/remove_unreferenced_articles.py","zeeguu.core.model.ArticlesCache"
"tools/remove_unreferenced_articles.py","zeeguu.core.elastic.indexing.remove_from_index"
"tools/remove_unreferenced_articles.py","zeeguu.core.model.Article"
"tools/remove_unreferenced_articles.py","zeeguu.core.db"
"tools/remove_unreferenced_articles.py","zeeguu.core.model.UserArticle"
"tools/saturate_word_interaction_history.py","zeeguu.core.model.word_knowledge.word_interaction_history.WordInteractionEvent"
"tools/saturate_word_interaction_history.py","nltk.stem.snowball.SnowballStemmer"
"tools/saturate_word_interaction_history.py","zeeguu.core.constants.EVENT_USER_FEEDBACK"
"tools/saturate_word_interaction_history.py","zeeguu.core.model.Exercise"
"tools/saturate_word_interaction_history.py","zeeguu.core.model.bookmark.bookmark_exercise_mapping"
"tools/saturate_word_interaction_history.py","zeeguu.core.constants.WIH_READ_NOT_CLICKED_OUT_SENTENCE"
"tools/saturate_word_interaction_history.py","zeeguu.core.constants.WIH_READ_NOT_CLICKED_IN_SENTENCE"
"tools/saturate_word_interaction_history.py","zeeguu.core.constants.WIH_READ_CLICKED"
"tools/saturate_word_interaction_history.py","zeeguu.core.util.text.split_words_from_text"
"tools/saturate_word_interaction_history.py","zeeguu.core.model.UserWord"
"tools/saturate_word_interaction_history.py","zeeguu.core.model.UserArticle"
"tools/saturate_word_interaction_history.py","zeeguu.core.model.UserActivityData"
"tools/saturate_word_interaction_history.py","zeeguu.core.model.word_knowledge.word_interaction_history.WordInteractionHistory"
"tools/saturate_word_interaction_history.py","zeeguu.core.model.bookmark.Bookmark"
"tools/saturate_word_interaction_history.py","zeeguu.core.model.Bookmark"
"tools/saturate_word_interaction_history.py","zeeguu.core.model.Text"
"tools/saturate_word_interaction_history.py","zeeguu.core.model.Language"
"tools/saturate_word_interaction_history.py","datetime.datetime"
"tools/saturate_word_interaction_history.py","zeeguu.core"
"tools/tag_existing_articles.py","zeeguu.core"
"tools/tag_existing_articles.py","zeeguu.core.model.Language"
"tools/tag_existing_articles.py","zeeguu.core.model.LocalizedTopic"
"tools/tag_existing_articles.py","zeeguu.core.model.Article"
"tools/tag_topics_in_danish.py","zeeguu.core.model.LocalizedTopic"
"tools/tag_topics_in_danish.py","zeeguu.core"
"tools/tag_topics_in_danish.py","zeeguu.core.model.Article"
"tools/tag_topics_in_danish.py","zeeguu.core.model.Language"
"tools/update_feed.py","zeeguu.core"
"tools/update_feed.py","zeeguu.core.model.Url"
"tools/update_feed.py","zeeguu.core.model.Language"
"tools/update_feed.py","zeeguu.core.model.RSSFeed"
"tools/update_particular_tag.py","sys"
"tools/update_particular_tag.py","zeeguu.core.model.Article"
"tools/update_particular_tag.py","zeeguu.core.model.Language"
"tools/update_particular_tag.py","zeeguu.core"
"tools/update_particular_tag.py","zeeguu.core.model.LocalizedTopic"
"tools/users_recently_active.py","zeeguu.core.model.User"
"tools/vis/generate-matrix-vis.py","matplotlib.pylab"
"tools/vis/generate-matrix-vis.py","numpy"
"zeeguu/api/__main__.py","zeeguu.api.app"
"zeeguu/api/api/__init__.py","zeeguu.api.api.user_statistics"
"zeeguu/api/api/__init__.py","zeeguu.api.api.user"
"zeeguu/api/api/__init__.py","zeeguu.api.api.search"
"zeeguu/api/api/__init__.py","zeeguu.api.api.own_texts"
"zeeguu/api/api/__init__.py","zeeguu.api.api.utils.route_wrappers.with_session"
"zeeguu/api/api/__init__.py","zeeguu.api.api.utils.json_result.json_result"
"zeeguu/api/api/__init__.py","flask"
"zeeguu/api/api/__init__.py","zeeguu.core"
"zeeguu/api/api/__init__.py","zeeguu.api.api.sessions"
"zeeguu/api/api/__init__.py","zeeguu.api.api.feature_toggles"
"zeeguu/api/api/__init__.py","zeeguu.api.api.exercises"
"zeeguu/api/api/__init__.py","zeeguu.api.api.recommendations"
"zeeguu/api/api/__init__.py","zeeguu.api.api.article"
"zeeguu/api/api/__init__.py","zeeguu.api.api.smartwatch"
"zeeguu/api/api/__init__.py","zeeguu.api.api.user_articles"
"zeeguu/api/api/__init__.py","zeeguu.api.api.bookmarks_and_words"
"zeeguu/api/api/__init__.py","zeeguu.api.api.activity_tracking"
"zeeguu/api/api/__init__.py","zeeguu.api.api.user_article"
"zeeguu/api/api/__init__.py","zeeguu.api.api.topics"
"zeeguu/api/api/__init__.py","zeeguu.api.api.user_languages"
"zeeguu/api/api/__init__.py","zeeguu.api.api.speech"
"zeeguu/api/api/__init__.py","zeeguu.api.api.translation"
"zeeguu/api/api/__init__.py","zeeguu.api.api.system_languages"
"zeeguu/api/api/__init__.py","zeeguu.api.api.accounts"
"zeeguu/api/api/accounts.py","zeeguu"
"zeeguu/api/api/accounts.py","flask.request"
"zeeguu/api/api/accounts.py","zeeguu.api.api.utils.route_wrappers.cross_domain"
"zeeguu/api/api/accounts.py","zeeguu.api.api.api"
"zeeguu/api/api/accounts.py","zeeguu.api.api.db_session"
"zeeguu/api/api/accounts.py","zeeguu.core.emailer.password_reset.send_password_reset_email"
"zeeguu/api/api/accounts.py","zeeguu.core.model.Session"
"zeeguu/api/api/accounts.py","sqlalchemy"
"zeeguu/api/api/accounts.py","zeeguu.core.model.unique_code.UniqueCode"
"zeeguu/api/api/accounts.py","zeeguu.core.model.User"
"zeeguu/api/api/accounts.py","zeeguu.core.account_management.user_account_creation.create_account"
"zeeguu/api/api/accounts.py","zeeguu.api.api.utils.abort_handling.make_error"
"zeeguu/api/api/accounts.py","zeeguu.api.api.sessions.get_anon_session"
"zeeguu/api/api/activity_tracking.py","zeeguu.api.api.api"
"zeeguu/api/api/activity_tracking.py","zeeguu.api.api.db_session"
"zeeguu/api/api/activity_tracking.py","flask"
"zeeguu/api/api/activity_tracking.py","zeeguu.api.api.utils.route_wrappers.with_session"
"zeeguu/api/api/activity_tracking.py","zeeguu.core.model.UserActivityData"
"zeeguu/api/api/activity_tracking.py","zeeguu.core.user_activity_hooks.article_interaction_hooks.distill_article_interactions"
"zeeguu/api/api/activity_tracking.py","zeeguu.core.emailer.zeeguu_mailer.ZeeguuMailer"
"zeeguu/api/api/activity_tracking.py","flask.request"
"zeeguu/api/api/activity_tracking.py","zeeguu.api.api.utils.route_wrappers.cross_domain"
"zeeguu/api/api/article.py","zeeguu.api.api.utils.json_result.json_result"
"zeeguu/api/api/article.py","zeeguu.core.model.Article"
"zeeguu/api/api/article.py","zeeguu.api.api.db_session"
"zeeguu/api/api/article.py","zeeguu.api.api.api"
"zeeguu/api/api/article.py","zeeguu.api.api.utils.route_wrappers.cross_domain"
"zeeguu/api/api/article.py","flask.request"
"zeeguu/api/api/article.py","zeeguu.core.model.personal_copy.PersonalCopy"
"zeeguu/api/api/article.py","langdetect.detect"
"zeeguu/api/api/article.py","zeeguu.api.api.utils.route_wrappers.with_session"
"zeeguu/api/api/article.py","zeeguu.core.model.Language"
"zeeguu/api/api/article.py","sqlalchemy.orm.exc.NoResultFound"
"zeeguu/api/api/article.py","flask"
"zeeguu/api/api/article.py","re"
"zeeguu/api/api/article.py","sentry_sdk.capture_exception"
"zeeguu/api/api/article.py","zeeguu.core.model.article.HTML_TAG_CLEANR"
"zeeguu/api/api/bookmarks_and_words.py","zeeguu.core.model.ExerciseOutcome"
"zeeguu/api/api/bookmarks_and_words.py","flask"
"zeeguu/api/api/bookmarks_and_words.py","zeeguu.core.model.ExerciseSource"
"zeeguu/api/api/bookmarks_and_words.py","zeeguu.core.bookmark_quality.top_bookmarks"
"zeeguu/api/api/bookmarks_and_words.py","zeeguu.core.model.Article"
"zeeguu/api/api/bookmarks_and_words.py","zeeguu.api.api.db_session"
"zeeguu/api/api/bookmarks_and_words.py","zeeguu.api.api.api"
"zeeguu/api/api/bookmarks_and_words.py","zeeguu.api.api.utils.route_wrappers.cross_domain"
"zeeguu/api/api/bookmarks_and_words.py","flask.request"
"zeeguu/api/api/bookmarks_and_words.py","zeeguu.core.model.User"
"zeeguu/api/api/bookmarks_and_words.py","zeeguu.api.api.utils.json_result.json_result"
"zeeguu/api/api/bookmarks_and_words.py","zeeguu.api.api.utils.route_wrappers.with_session"
"zeeguu/api/api/bookmarks_and_words.py","zeeguu.core.model.Bookmark"
"zeeguu/api/api/bookmarks_and_words.py","sqlalchemy.orm.exc.NoResultFound"
"zeeguu/api/api/bookmarks_and_words.py","datetime.datetime"
"zeeguu/api/api/exercises.py","zeeguu.core.exercises.similar_words.similar_words"
"zeeguu/api/api/exercises.py","zeeguu.api.api.utils.route_wrappers.cross_domain"
"zeeguu/api/api/exercises.py","zeeguu.api.api.api"
"zeeguu/api/api/exercises.py","zeeguu.api.api.db_session"
"zeeguu/api/api/exercises.py","zeeguu.core.word_scheduling.basicSR.basicSR.BasicSRSchedule"
"zeeguu/api/api/exercises.py","traceback"
"zeeguu/api/api/exercises.py","flask"
"zeeguu/api/api/exercises.py","zeeguu.core.model.Bookmark"
"zeeguu/api/api/exercises.py","zeeguu.api.api.utils.route_wrappers.with_session"
"zeeguu/api/api/exercises.py","zeeguu.api.api.utils.json_result.json_result"
"zeeguu/api/api/feature_toggles.py","zeeguu.api.api.utils.route_wrappers.cross_domain"
"zeeguu/api/api/feature_toggles.py","flask"
"zeeguu/api/api/feature_toggles.py","zeeguu.api.api.utils.route_wrappers.with_session"
"zeeguu/api/api/feature_toggles.py","zeeguu.api.api.api"
"zeeguu/api/api/own_texts.py","zeeguu.core.model.CohortArticleMap"
"zeeguu/api/api/own_texts.py","zeeguu.api.api.utils.json_result.json_result"
"zeeguu/api/api/own_texts.py","zeeguu.core.model.personal_copy.PersonalCopy"
