importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
zeeguu/core/content_retriever/video_dowloader.py,elasticsearch.Elasticsearch,NONE,EXTERNAL,EXTERNAL
zeeguu/core/elastic/indexing.py,elasticsearch.Elasticsearch,NONE,EXTERNAL,EXTERNAL
zeeguu/core/emailer/zeeguu_mailer.py,email.mime.text.MIMEText,NONE,EXTERNAL,EXTERNAL
dev.py,env_var_defs,NONE,INTERNAL,NOT MAPPED
tools/anonimize_users.py,faker.Faker,NONE,EXTERNAL,EXTERNAL
tools/forget_user.py,faker.Faker,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/model_test_mixin.py,faker.Faker,NONE,EXTERNAL,EXTERNAL
zeeguu/core/test/rules/base_rule.py,faker.Faker,NONE,EXTERNAL,EXTERNAL
tools/article_crawler.py,feed_retrieval.retrieve_articles_from_all_feeds,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/utils/feedparser_extensions.py,feedparser,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/feed.py,feedparser,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/__init__.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/activity_tracking.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/article.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/bookmarks_and_words.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/exercises.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/feature_toggles.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/own_texts.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/recommendations.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/search.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/sessions.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/smartwatch.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/student.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/_common_api_parameters.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/_only_teachers_decorator.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/_permissions.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/article_management.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/cohorts.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/general.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/helpers.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/topics.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/translation.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/user.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/user_article.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/user_articles.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/user_languages.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/user_statistics.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/utils/json_result.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/utils/route_wrappers.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/app.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/cross_domain_app.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/session.py,flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/app.py,flask_cors.CORS,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/__init__.py,flask_sqlalchemy,NONE,EXTERNAL,EXTERNAL
zeeguu/api/app.py,flask.Flask,NONE,EXTERNAL,EXTERNAL
zeeguu/core/model/__init__.py,flask.Flask,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/cohorts.py,flask.jsonify,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/student.py,flask.jsonify,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/utils/abort_handling.py,flask.jsonify,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/sessions.py,flask.make_response,NONE,EXTERNAL,EXTERNAL
zeeguu/core/util/encoding.py,flask.make_response,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/accounts.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/activity_tracking.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/article.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/bookmarks_and_words.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/own_texts.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/search.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/sessions.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/smartwatch.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/speech.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/student.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/article_management.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/teacher_dashboard/cohorts.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/topics.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/translation.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/user_article.py,flask.request,NONE,EXTERNAL,EXTERNAL
zeeguu/api/api/user_articles.py,flask.request,NONE,EXTERNAL,EXTERNAL
