importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
torch/_refs/__init__.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/ns/fx/mappings.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/ns/fx/n_shadows_utils.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/ns/fx/utils.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/quantization/_pt2e/qat_utils.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/quantization/_pt2e/quantizer/qnnpack_quantizer.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/quantization/_pt2e/utils.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/quantization/backend_config/_common_operator_config_utils.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/quantization/backend_config/_qnnpack_pt2e.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/quantization/backend_config/executorch.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/quantization/backend_config/onednn.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/quantization/fx/_lower_to_native_backend.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/quantization/fx/convert.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/quantization/fx/lstm_utils.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
torch/ao/quantization/fx/utils.py,operator,benchmarks/dynamo/microbenchmarks/operator_inp_utils.py,INTERNAL,MAPPED
